Genotypes,Abbreviate form,DFF,FD,FL,FW,NDVI,PH,SLA,SPAD,TF,YPP,Gid
SU‐193,G85,109.07,45.23,4.52,8.76,0.56,103.82,127.19,40.63,12.21,6.1,85
SU‐194,G86,96.82,52.47,5.25,8.9,0.65,100.57,165.81,45.68,12.21,4.99,86
SU‐195,G87,95.82,45.37,4.54,5.55,0.72,110.57,138.26,61.61,10.21,2.87,87
SU‐196,G88,99.82,78.77,7.88,9.66,0.59,126.57,111.3,37.79,12.21,8.61,88
SU‐197,G89,96.82,65.92,6.59,10.87,0.65,138.07,201.46,47.47,13.71,7.67,89
SU‐198,G90,98.82,82.94,8.29,4.29,0.59,109.07,221.66,44.73,48.71,4.87,90
SU‐199,G91,97.82,57.25,5.72,8.98,0.47,119.07,99.28,48.71,13.71,7.07,91
SU‐200,G92,95.82,29.93,2.99,5.72,0.59,115.07,163.93,40.53,11.71,6.71,92
SU‐201,G93,92.82,85.72,8.57,11.79,0.51,99.07,168.3,47.73,11.71,6.37,93
SU‐202,G94,96.82,44.34,4.43,9.72,0.42,132.07,113.91,34.89,13.71,6.26,94
SU‐203,G95,95.82,37.76,3.78,6.41,0.45,119.07,182.4,54.97,48.71,0.87,95
SU‐204,G96,97.82,74.91,7.49,12.69,0.52,93.07,121.69,39.04,48.71,0.87,96
SU‐205,G97,99.82,62.13,6.21,9.71,0.44,122.07,99.3,49.19,10.71,5.92,97
SU‐206,G98,97.82,94.73,9.47,11.89,0.44,109.07,164.18,48.77,10.71,5.73,98
SU‐207,G99,97.82,10.71,1.07,0.87,0.59,99.07,194.92,34.95,48.71,0.87,99
SU‐208,G100,96.82,7.71,0.77,1.07,0.67,98.07,175.52,38.58,48.71,0.87,100
SU‐209,G101,94.82,74.16,7.42,9.8,0.48,97.07,103.27,40.89,48.71,0.87,101
SU‐210,G102,96.82,38.77,3.88,9.6,0.63,95.07,140.42,59.53,12.71,7.04,102
SU‐211,G103,104.82,45.97,4.6,11.89,0.49,97.07,88.26,48.22,11.71,7.77,103
